username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mrldolan;2017-10-09 13:02;0;0;"4. Wapo reported on the activity but left out the Jefferson Memorial activity and a later counter-protest in Cville https://www.washingtonpost.com/news/grade-point/wp/2017/10/07/richard-spencer-leads-another-torchlight-march-in-charlottesville/?hpid=hp_local-news_torch-1040pm-from-nhp%3Ahomepage%2Fstory&utm_term=.8b72760c1d8f …";;;;"917435195623706624";https://twitter.com/mrldolan/status/917435195623706624
alliedyoga;2017-10-02 12:51;0;0;"Won't you come see me talk at TEDx Cville Open Mic tonite at the Jefferson Theater on the… https://www.instagram.com/p/BZwMRl6AX4X/";;;;"914895745089667072";https://twitter.com/alliedyoga/status/914895745089667072
MusicCville;2017-09-30 10:00;0;2;"Jukebox The Ghost / San Fermin - *MOVED TO THE JEFFERSON* with Secret Weapons: @ southern_cville at 7 PM # Charlottesville";;@;#;"914127717200572416";https://twitter.com/MusicCville/status/914127717200572416
LoveCVille;2017-09-29 18:59;0;0;"16 Great Date Night Spots In # CVille! I Love CVille ~ The Jefferson Theater, Now & Zen restaurant, Maya... http://fb.me/2txdFMmCq";;;#;"913901187619000320";https://twitter.com/LoveCVille/status/913901187619000320
Scoutology;2017-09-25 19:00;0;0;"16 Great Date Night Spots In CVille! # CVille Jerry Miller ~ Wine & Design, The Jefferson Theater, Maya... http://fb.me/1pymQhTZP";;;#;"912451718394384386";https://twitter.com/Scoutology/status/912451718394384386
CVilleFood;2017-09-23 15:24;0;0;"16 Great Date Night Spots In CVille! # CVille Jerry Miller ~ The Jefferson Theater, Greenberry's Coffee at... http://fb.me/752zvsyAB";;;#;"911672545866342402";https://twitter.com/CVilleFood/status/911672545866342402
TomTomFest;2017-09-21 19:17;0;1;"Opening remarks by # tomtomfest founder, Paul Beyer, at the Founding Cville gala tonight at Jefferson Library. pic.twitter.com/6fLAh2UMqV";;;#;"911006397269147650";https://twitter.com/TomTomFest/status/911006397269147650
CvilleJefferson;2017-09-19 10:02;4;5;"JUST ANNOUNCED: @ LivingColour at the Jefferson on Oct. 19 – to benefit CACF Heal Cville Fund! Tickets on sale Friday http://bit.ly/LivingColourJT pic.twitter.com/IYi1Ihs6eV";;@;;"910141958378618880";https://twitter.com/CvilleJefferson/status/910141958378618880
LoveCVille;2017-09-16 14:55;0;0;"16 Great Date Night Spots In CVille! # CVille Jerry Miller ~ The Jefferson Theater, Wine & Design, Greenberry's... http://fb.me/EPch7J6G";;;#;"909128545636581376";https://twitter.com/LoveCVille/status/909128545636581376
mattyblassic95;2017-09-13 00:55;0;7;"For those who disrespected the statue of Thomas Jefferson statue in cville and called him a "Racist and Rapist" I urge you gtfo of Virginny";;;;"907830184744820737";https://twitter.com/mattyblassic95/status/907830184744820737
Cville_TMP;2017-09-13 00:02;0;0;"Wait until the parents and donors see what goes on after classes, like the attacks on Thomas Jefferson that happened tonight.";;;;"907816829321703424";https://twitter.com/Cville_TMP/status/907816829321703424
TomTomFest;2017-09-07 11:45;0;0;"Founding Cville recipient Martin Burks III is a founding visionary of the Jefferson School City Center. Learn more: http://tomtomfest.com/foundingcville-martinburks/ …";;;;"905819232927195141";https://twitter.com/TomTomFest/status/905819232927195141
CVilleFood;2017-09-05 13:57;0;0;"16 Great Date Night Spots In # CVille! Jerry Miller ~ The Jefferson Theater, Putt-Putt Rio Road, Bang Tapas,... http://fb.me/7HRQozRl4";;;#;"905127823219838976";https://twitter.com/CVilleFood/status/905127823219838976
